cell_id,mechanism,weight_precision,kv_cache_dtype,attn_backend,enforce_eager,workload,concurrency,repeat,itl_slo_ms,ttft_slo_ms,goodput_rps,met_fraction,throughput_rps,output_tokens_per_s
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,1,50,1000,0.0,0.0,1.1928,299.62
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,1,75,200,0.0,0.0,1.1928,299.62
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,1,75,500,0.0,0.0,1.1928,299.62
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,1,75,1000,0.0,0.0,1.1928,299.62
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,20,200,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,20,500,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,20,1000,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,35,200,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,35,500,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,35,1000,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,50,200,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,50,500,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,50,1000,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,75,200,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,75,500,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,4,2,75,1000,0.0,0.0,1.1071,308.59
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,20,200,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,20,500,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,20,1000,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,35,200,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,35,500,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,35,1000,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,50,200,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,50,500,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,50,1000,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,75,200,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,75,500,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,0,75,1000,0.0,0.0,3.4404,925.53
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,16,1,20,200,0.0,0.0,3.6658,901.96
